name,brand,street,zip,city,country,latitude,longitude,phone,email,website
Autohaus Bleker GmbH,KIA,Kölner Str. 1,48163,Münster,DE,51.887546,7.5798029,02501 - 97380 ,,https://www.kia-bleker-muenster.de
Autohaus Rinnetal GmbH ,KIA,Prof.-H.-Klare-Str. 2 ,07407,Rudolstadt ,DE,50.698776,11.332098,03672 - 4838482,info@rinnetal.com,https://www.kia-rinnetal-rudolstadt.de
 Auto- und Motorradhaus Borchardt GmbH,KIA,Maschstraße 43 ,49356 ,Diepholz ,DE,52.592845,8.3540153,05441 - 594920,diepholz@borchardt-mobil.de,https://www.kia-borchardt-diepholz.de
Autohaus Siebrecht GmbH,KIA,Wiesenstrasse 15,37170,Uslar ,DE,51.659816,9.6296777,05571 - 92300,info@autohaus-siebrecht.de,https://www.kia-siebrecht-uslar.de
Autohaus Claas Penning GmbH,KIA,Westersteder Straße 6-14a,26340,Zetel-Neuenburg,DE,53.386799043814364,7.953552996183445,04452-91200,info@autohaus-penning.de,https://www.kia-penning-zetelneuenburg.de/
"Autohaus Weiner, Inh. Robert Weiner",KIA,Rothenburger Landstr. 156,02828,Görlitz,DE,51.203014734578254,14.998853104147898,03581-314235,verkauf@autohausweiner.de,https://www.kia-weiner-goerlitz.de/
Heinrich Nehrkorn GmbH & Co. KG ,KIA,Zur Bleiche 49 ,24941 ,Flensburg ,DE,54.77130126953125,9.429461479187012,0461 - 99800 ,kia@nehrkorn.de,https://www.kia-nehrkorn-flensburg.de
Auto Nagel Kempen GmbH & Co. KG,KIA,Otto-Schott-Str. 7 ,47906,Kempen,DE,51.3758002,6.4156472,02841794050,,https://www.kia-nagel-kempen.de
Autohaus Kaltenbach GmbH & Co. KG ,KIA,Robert-Bosch-Straße 4 ,51674 ,Wiehl ,DE,50.96885918346707,7.520817698847283,02261 - 94720,info.wiehl@kaltenbach-gruppe.de,https://kaltenbach-gruppe.de/kia-markenwelt/
Autohaus Kaltenbach GmbH & Co. KG ,KIA,Borner Str. 35 ,42897,Remscheid ,DE,51.17802234257778,7.254240426069306,02191 - 463700,info.remscheid@kaltenbach-gruppe.de,https://kaltenbach-gruppe.de/kia-markenwelt/
Horst Wahl GmbH & Co. KG,KIA,Andernacher Str. 232,56070,Koblenz,DE,50.377174,7.5881223,0261 - 808000,kia.koblenz@wahl-group.de,https://www.wahl-group.de/kia
Procar Automobile Movement GmbH,KIA,Bayerische Allee 1,50858,Köln,DE,50.9159253,6.8531461,02234-9150,koeln-west@procar-automobile.de,https://www.kia-procar-koeln.de
Doll Kfz GmbH & Co. KG ,KIA,Thaddenstr. 11,69469,Weinheim,DE,49.540147,8.657887,06201-877140,loeffler@auto-doll.de,https://www.kia-doll-weinheim.de
