name,brand,street,zip,city,country,latitude,longitude,phone,email,website
Autohaus König GmbH,OPEL,Kolonnenstraße 31,10829,Berlin,DE,52.485308,13.369845,030 789 567 0,,http://www.opel.de
Autohaus Gotthard König GmbH,OPEL,Kolonnenstr. 31,10829,Berlin,DE,52.485308,13.369845,030 789 567 0,,http://www.opel.de
"DÜRKOP GmbH, Filiale Berlin-Prenzlauer Berg",OPEL,Goethestr. 5/7,10409,Berlin,DE,52.5509024,13.4333939,030  4218090,info-prenzlauerberg@duerkop.de,https://www.opel-duerkop-prenzlauer-berg.de/
KADEA Berlin GmbH,OPEL,Bessemerstr. 28-36,12103,Berlin,DE,52.4650418,13.3669412,030  75060,info@ka-de-a.de,http://www.opel.de
KADEA Berlin GmbH,OPEL,Seesener Str. 58-59,10709,Berlin,DE,52.4918467,13.2974884,030  8960910,info@ka-de-a.de,http://www.opel.de
Stellantis &You Deutschland GmbH,OPEL,Weissenseer Weg 65,10369,Berlin,DE,52.538514,13.467788,03021-929060,,http://www.opel.de
KADEA Berlin GmbH,OPEL,Buschkrugallee  35,12359,Berlin,DE,52.4612269,13.447261,030  56825950,info@ka-de-a.de,http://www.opel.de
Autohaus Dinnebier GmbH,OPEL,Holzhauser Str. 10-12,13509,Berlin,DE,52.5771931,13.2966151,030  430030,,https://www.opel-dinnebier-berlin-reinickendorf.de/
Autohaus Koch GmbH,OPEL,Hansastraße 212,13051,Berlin,DE,52.558699,13.493962,030 983089222,,http://www.opel.de
Autohaus Hinz GmbH & Co. KG,OPEL,Hauptstr. 167,13158,Berlin,DE,52.6022536,13.3798571,030  9120010,info@autohaus-hinz.de,https://www.opel-hinz-berlin.de/
DÜRKOP GmbH Filiale Berlin-Rummelsburger Landstr.,OPEL,Rummelsburger Landstr. 112,12459,Berlin,DE,52.472917,13.508507,030  5499870,info-rummelsburg@duerkop.de,https://www.opel-duerkop-berlin-koepenick.de/
Autohaus Kramm GmbH,OPEL,Hauptstr. 24-25,13127,Berlin-Buchholz,DE,52.6089402,13.4334739,030  4749060,,https://www.opel-kramm-berlin.de/
Autohaus Dinnebier GmbH,OPEL,Nordring 6,12681,Berlin,DE,52.5631828,13.5503611,030 93893200,lars.schoke@dinnebiergruppe.de,https://www.opel-dinnebier-nordring.de/
Autohaus Arnhölter GmbH,OPEL,Brunsbütteler Damm 82 - 90,13581,Berlin,DE,52.5342129,13.1847005,030  3308070,,https://www.opel-arnhoelter-berlin.de/
KADEA Berlin GmbH Filiale Köpenick,OPEL,Lindenstr. 16-18,12555,Berlin,DE,52.4542085,13.5680278,030  6589070,info@ka-de-a.de,http://www.opel.de
Autohaus Haupt GmbH,OPEL,Ruppiner Chaussee 377,13503,Berlin,DE,52.6242885,13.2311357,030  4314086,opel.haupt@nexgo.de,https://www.opel-haupt-berlin.de/
Autohaus König GmbH,OPEL,WARTHESTR. 17,14513,Teltow,DE,52.399884,13.240095,03328/3378300,,http://www.opel.de
Autohaus Gotthard König GmbH,OPEL,Warthestraße 17,14513,Teltow,DE,52.399884,13.240095,03971 / 20170,,http://www.opel.de
DÜRKOP GmbH Filiale Hoppegarten,OPEL,Neuer Hönower Weg 10,15366,Dahlwitz-Hoppegarten,DE,52.512536,13.6514737,03342  354267,info-hoppegarten@duerkop.de,https://www.opel-duerkop-hoppegarten.de/
Autohaus Gotthard König GmbH,OPEL,Carenaallee 2a,15366,Hoppegarten,DE,52.51336,13.65372,03342 426860,,http://www.opel.de
Autohaus König GmbH,OPEL,Carenaallee 2a,15366,Hoppegarten,DE,52.51336,13.65372,03342 426860,,http://www.opel.de
Autohaus Arnhölter GmbH,OPEL,Hallesche Str. 1,14612,Falkensee,DE,52.5518738,13.1030273,03322  25020,armin.arnhoelter@t-online.de,https://www.opel-arnhoelter-falkensee.de/
Autohaus Arnhölter GmbH,OPEL,Mühlenstr. 3,14624,Dallgow,DE,52.5372777,13.040634,03322  24560,,https://www.opel-arnhoelter-dallgow.de/
DÜRKOP GmbH Filiale Bernau,OPEL,Mühlenstr. 30,16321,Bernau bei Berlin,DE,52.6821542,13.5804429,03338  39090,info-bernau@duerkop.de,https://www.opel-duerkop-bernau.de/
Schachtschneider GmbH & Co. KG,OPEL,Ulmenstr. 4,14482,Potsdam,DE,52.3779071,13.109192,0331  550440,beelitz@opel-schachtschneider.de,https://www.opel-schachtschneider-potsdam.de/
Autohaus Böttche GmbH,OPEL,Trebbiner Str. 24,14480,Potsdam,DE,52.35725,13.13087,0331/649950,,https://www.opel-boettche-teltow.de/
Autohaus Bogedaly Vertriebs   & Service GmbH,OPEL,Nuthedamm 1,14974,Ludwigsfelde,DE,52.2957776,13.272632,03378  81470,,https://www.opel-bogedaly-ludwigsfelde.de/
Autohaus Dinnebier GmbH,OPEL,Saarlandstr. 32-38,16515,Oranienburg,DE,52.7353664,13.2462801,03301  58590,lars.schoke@dinnebiergruppe.de,https://www.opel-dinnebier-oranienburg.de/
Autohaus Strauch GmbH,OPEL,Tasdorf Süd Nr. 10,15562,Rüdersdorf,DE,52.4923561,13.7802784,033638  7560,,https://www.opel-strauch-ruedersdorf.de/
AMZ Autohaus Zeesen GmbH,OPEL,Karl-Liebknecht-Str. 60 - 62,15711,Königs Wusterhausen,DE,52.2718664,13.6326166,03375  92160,info@amz-zeesen.de,https://www.opel-amz-zeesen.de/
Autohaus Zossen GmbH,OPEL,Bahnhofstr. 44,15806,Zossen,DE,52.2178573,13.4406221,03377  301492,,https://www.opel-autohaus-zossen.de/
Autohaus Arnhölter GmbH,OPEL,Alfred-Nobel-Str. 6,14641,Nauen,DE,52.5968701,12.8885164,03321  44110,armin.arnhoelter@t-online.de,https://www.opel-arnhoelter-nauen.de/
Schachtschneider GmbH & Co. KG,OPEL,Chausseestr. 22/23,14542,Werder-Glindow,DE,52.3751469,12.8826389,03327  48990,,https://www.opel-schachtschneider-werder.de/
Schachtschneider GmbH & Co. KG,OPEL,Zum Bahnhof 1,14547,Beelitz,DE,52.23808,12.96734,033204  4740,beelitz@opel-schachtschneider.de,https://www.opel-schachtschneider-beelitz.de/
DÜRKOP GmbH Filiale Eberswalde,OPEL,Freienwalder Str. 82,16225,Eberswalde,DE,52.8273613,13.842536,03334  58610,info-eberswalde@duerkop.de,https://www.opel-duerkop-eberswalde.de/
Autohaus Jürgen Lautsch Inhaber Christian Grothe e. K.,OPEL,Schieferling 17,14943,Luckenwalde,DE,52.08114,13.15563,03372  42440,matthias.scheibe@autohaus-lautsch.de,https://www.opel-lautsch-jueterbog.de/
Autohaus Dinnebier GmbH,OPEL,Castrop-Rauxel-Allee 3,16792,Zehdenick,DE,52.9782955,13.3420783,03307  46700,lars.schoke@dinnebiergruppe.de,https://www.opel-dinnebier-zehdenick.de/
Autohaus Parnow e.K.,OPEL,Schamottering 1,16259,Bad Freienwalde (Oder),DE,52.7875499,14.0301861,03344  42040,opel.parnow@t-online.de,https://www.opel-parnow-bad-freienwalde.de/
Autocenter-Süd GmbH,OPEL,Valentin-Rose-Str. 3,16816,Neuruppin,DE,52.881724,12.796556,03391  59400,autocenter-sued@t-online.de,https://www.opel-autocenter-sued-neuruppin.de/
Autohaus Böttche GmbH,OPEL,Kaiserslauterner Str. 7,14772,Brandenburg,DE,52.4376635,12.5293822,03381  75890,info@ms-autohaus.de,https://www.opel-boettche-brandenburg.de/
Autohaus Kelch GmbH & Co. KG,OPEL,Babimost-Ring 2,16816,Neuruppin,DE,52.9383677,12.8161307,03391652915,,https://www.opel-kelch-neuruppin.de/
Stellantis & You Deutschland GmbH,OPEL,Dennewitzer Str. 44,14913,Jüterbog,DE,51.98427,13.06488,0337 242440,,http://www.opel.de
