name,brand,street,zip,city,country,latitude,longitude,phone,email,website
Peter Ullrich e.K.,SEAT,Dorfstr. 39,47661,Issum-Sevelen,DE,51.49372,6.42635,02835/5124,info@autohaus-ullrich.com,https://autohaus-ullrich.seat.de
Hahn Automobile GmbH + Co. KG,SEAT,Rudolf-Diesel-Straße 20,71032,Böblingen,DE,48.676,9.01739,07031-722 0,seat.boeblingen@hahn-automobile.de,
Autohaus Weiland GmbH,SEAT,Untere Bliesstraße 61,66539,Neunkirchen,DE,49.35236,7.21963,06821-401730,seat-nk@autohaus-weiland.de,https://autohaus-weiland-nk.seat.de
Groß Automobile GmbH,SEAT,Schneeberger Str. 32,08321,Zschorlau,DE,50.5708,12.6563,03771-45090,info@seat-zschorlau.de,https://gross-sachsen.seat.de
Schnieder GmbH,SEAT,Herforder Str. 79,32602,Vlotho,DE,52.16127,8.84733,05733-881990,info@schnieder.de,https://schnieder.seat.de
Autohaus Possögel GmbH,SEAT,Weißenfelser Str. 22-24,06618,Naumburg,DE,51.15078,11.81777,03445-70540,info@autohaus-possoegel.com,https://possoegel.seat.de
Löhr Auto SZ GmbH,SEAT,Mainzer Str. 130,65189,Wiesbaden,DE,50.06096,8.25416,0611/505074-40,info.sew@loehrgruppe.de,https://wiesbaden.seat.de
Auto Halbig GmbH & Co. KG,SEAT,Nürnberger Str. 64,91710,Gunzenhausen,DE,49.12109,10.7628,09831-80020,info@auto-halbig.de,
Autohaus Timmer GmbH,SEAT,Nordring 212-214,46325,Borken,DE,51.84194,6.83674,02861-9423-0,seat.bor@auto-timmer.de,https://timmer-borken.seat.de
AutoCenter Benz GmbH,SEAT,Sandgrabenstr. 48,88400,Biberach an der Riss,DE,48.10958,9.80179,07351-587920,service@autocenter-benz.de,https://autocenter-benz-biberach.seat.de
Autohaus Dehner GmbH,SEAT,Wasserwiesen 13,72336,Balingen,DE,48.26035,8.85223,07433-997440,seat@autohaus-dehner.de,https://dehner.seat.de
Autohaus Jost GmbH & Co. KG,SEAT,Niedereimerfeld 41-43,59823,Arnsberg,DE,51.42348,8.03384,02932-4759990,seat@autohaus-jost.de,https://autohaus-jost.seat.de
Autohaus Gebr. Schwarte Aurich GmbH,SEAT,Emder Str. 31,26607,Aurich,DE,53.47059,7.46323,04941-15100,seat.aurich@autohaus-schwarte.de,autohaus-schwarte.seat.de
Tiemeyer automobile GmbH & Co. KG,SEAT,Vestische Str. 229,46145,Oberhausen,DE,51.51275,6.85856,0208/69955-0,info.seatoberhausen@tiemeyer.de,https://tiemeyer-oberhausen.seat.de
Autohaus Ostmann GmbH & Co. KG,SEAT,Am Jahnsportplatz 4-8,34369,Hofgeismar,DE,51.48596,9.38819,05671 507 771 0,info-hog@autohaus-ostmann.de,https://ostmann-hofgeismar.seat.de
Auto-Krause GmbH & Co. KG,SEAT,Siemensstrasse 2,48341,Altenberge,DE,52.0435,7.45519,02505 9336 0,seat@autokrause-familie.de,
Emil Frey Küstengarage GmbH,SEAT,Curslacker Neuer Deich 72,21029,Hamburg,DE,53.47668,10.20492,040 72561-0,seat.hh@kuestengarage.de,https://kuestengarage-hamburg.seat.de/
Autohaus Neuling GmbH & Co. KG,SEAT,Poppauer Straße 37,38486,Klötze,DE,52.63319,11.15623,03909-4606,info@autohaus-neuling.de,
Auto-Center Weber GmbH & Co. KG,SEAT,Otto-Schmidt Straße 8,04425,Taucha,DE,51.36805,12.47581,034298 504 0,seat-taucha@auto-center-weber.de,
W.Potthoff GmbH,SEAT,Hüserstraße 1,59075,Hamm,DE,51.6892,7.77387,02381 79980,seatpartner@potthoff.de,https://potthoff.seat.de
Kalletaler Autohaus ,SEAT,Lüdenhaus Str. 19,32689,Kalletal,DE,52.08571,9.00315,05264-69950,info@kalletaler-autohaus.de,https://kalletalerautohaus.seat.de
Autohaus Fischbach GmbH & Co. KG,SEAT,Industriestraße 5,56472,Hof,DE,50.66311,8.0189,02661-930500,info@autohaus-fischbach.com,https://fischbach.seat.de
Autohaus Schmitz GmbH - Service,SEAT,Dernbacher Str. 65,56424,Ebernhahn,DE,50.46756,7.77705,02623-7180,info@ahschmitz.de,https://ahschmitz.seat.de
Autohaus Früchtl GmbH,SEAT,An der B 8,93102,Pfatter,DE,48.95842,12.36776,09481-244,info@autohaus-fruechtl.de,https://fruechtl.seat.de
Siemon GmbH,SEAT,In den Rietbroken 28,49525,Lengerich,DE,52.17891,7.84856,05481 9459-0,lengerich@autohaus-siemon.de,https://autohaus-siemon.seat.de
Audi Zentrum Zwickau GmbH,SEAT,Oskar-Arnold-Straße 30,08056,Zwickau,DE,50.7084,12.50278,0375 560 86 0,seat-cupra@audi-zentrum-zwickau.de,https://zentrum-zwickau.seat.de
Bernhardt Nutzfahrzeuge GmbH,SEAT,In der Gabel 14-16,69123,Heidelberg,DE,49.41404,8.63884,06221 535 300,service@autohausbernhardt.de,
Autohaus Pusl GmbH,SEAT,Neuhauser Strasse 22,83727,Schliersee,DE,47.71125,11.86976,08026 60656 0,seat@autohaus-pusl.de,
Erwin Pfister GmbH & Co. KG,SEAT,Heidenfelder Straße 9,97525,Schwebheim,DE,49.98507,10.24426,09723 91550,info@autohaus-pfister.de,https://pfister.seat.de
Ehrhardt AG NL Halle,SEAT,Rosenfelder Str. 5,06116,Halle,DE,51.50134,12.0303,0345-4447980,seat.halle@ah-ehrhardt.com,https://ehrhardt-halle.seat.de
Volkswagen Automobile Stuttgart GmbH,SEAT,Hauptstraße 166,70563,Stuttgart,DE,48.73265,9.09248,0711 737300-0,Backoffice.Vai@vw-as.de,
Autohaus Gebr. Schwarte Cloppenburg GmbH,SEAT,Emsteker Str. 75,49661,Cloppenburg,DE,52.84237,8.06004,04471 9173 14,seat.cloppenburg@autohaus-schwarte.de,https://schwarte-cloppenburg.seat.de
Dinkel + Heiny GmbH,SEAT,Bugstr. 3,79336,Herbolzheim,DE,48.22223,7.766,07643 9336890,info@dinkel-heiny.de,https://dinkel-heiny.seat.de/
Auto Singer GmbH & Co. KG,SEAT,Rudolf-Diesel-Straße 2,86807,Buchloe,DE,48.04152,10.70792,0824150990,info-bu@autosinger.de,https://auto-singer-buchloe.seat.de
bhg Autohandelsgesellschaft mbH,SEAT,Ernst-Abbe-Straße 20,72770,Reutlingen,DE,48.49798,9.15296,07124 583 100,seat-reutlingen22246@bhg-mobile.de,https://bhg-autohaus-reutlingen.seat.de
bhg Autohandelsgesellschaft mbH,SEAT,Sigmaringer Str. 48,72458,Albstadt,DE,48.20689,9.03756,07431 9356 0,seat-albstadt@bhg-mobile.de,https://bhg-albstadt.seat.de/
bhg Autohandelsgesellschaft mbH,SEAT,Lörracher Str. 4,79115,Freiburg,DE,47.98463,7.82633,0761 4902 0,seat-freiburg@bhg-mobile.de,https://bhg-freiburg.seat.de
AVEMO Hanau GmbH,SEAT,Luise-Kiesselbach-Str. 17,63452,Hanau,DE,50.14896,8.92757,06181 4908 0,info@audi-zentrum-hanau.de,
Autowelt Bader GmbH & Co. KG,SEAT,Münchener Straße 2,83052,Bruckmühl,DE,47.87829,11.96474,08061 497770,cupra-seat.hf@autowelt-bader.de,
Autohaus Prüller e.K.,SEAT,Am Schwalbanger 39,86633,Neuburg,DE,48.72598,11.19106,08431 6767 0,seat@autohaus-prueller.de,https://autohaus-prueller.seat.de
Autohaus Rainer Pust,SEAT,Greifswalder Straße 26 A,17389,Anklam,DE,53.86567,13.68737,03971-20150,AH-Pust@gmx.de,https://pust.seat.de
Auto-Hofmann GmbH & Co.KG,SEAT,Diesdorfer Graseweg 99,39110,Magdeburg,DE,52.12719,11.57448,0391-7391003,autohofmann@mail.de,https://hofmann.seat.de
Autohaus Kässner GmbH,SEAT,Limbacher Straße 54,09247,Chemnitz,DE,50.86443,12.8248,03722-52250,kaessner@t-online.de,https://seat-kaessner-chemnitz.de
